Date, # of Infections
1/20/2020,5
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,3
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,1
1/31/2020,1
2/1/2020,1
2/2/2020,0
2/3/2020,3
2/4/2020,0
2/5/2020,0
2/6/2020,1
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,0
2/13/2020,2
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,19
2/22/2020,1
2/23/2020,0
2/24/2020,18
2/25/2020,0
2/26/2020,6
2/27/2020,0
2/28/2020,3
2/29/2020,0
3/1/2020,0
3/2/2020,2
3/3/2020,44
3/4/2020,21
3/5/2020,0
3/6/2020,84
3/7/2020,0
3/8/2020,0
3/9/2020,259
3/10/2020,224
3/11/2020,0
3/12/2020,291
3/13/2020,277
3/14/2020,414
3/15/2020,36
3/16/2020,0
3/17/2020,1822
3/18/2020,3551
3/19/2020,3351
3/20/2020,4777
3/21/2020,0
3/22/2020,0
3/23/2020,16354
3/24/2020,20341
3/25/2020,0
3/26/2020,16420
3/27/2020,0
3/28/2020,16894
3/29/2020,18093
3/30/2020,19332
3/31/2020,17987
4/1/2020,22559
4/2/2020,24103
4/3/2020,26298
4/4/2020,28103
4/5/2020,32105
4/6/2020,33510
4/7/2020,26493
4/8/2020,29510
4/9/2020,31709
4/10/2020,30859
4/11/2020,35386
4/12/2020,31606
4/13/2020,31633
4/14/2020,29308
4/15/2020,24446
4/16/2020,25802
4/17/2020,28711
4/18/2020,32549
4/19/2020,30023
4/20/2020,28252
4/21/2020,27668
4/22/2020,25634
4/23/2020,24019
4/24/2020,29127
4/25/2020,30719
4/26/2020,38509
4/27/2020,32417
4/28/2020,29218
4/29/2020,22541
4/30/2020,20517
5/1/2020,31379
5/2/2020,31774
5/3/2020,26753
5/4/2020,31839
5/5/2020,29266
5/6/2020,16200
5/7/2020,22267
5/8/2020,22119
5/9/2020,30204
5/10/2020,25870
5/11/2020,26642
5/12/2020,23767
5/13/2020,18044
5/14/2020,21424
5/15/2020,20840
5/16/2020,27090
5/17/2020,22813
5/18/2020,31967
5/19/2020,13227
5/20/2020,24417
5/21/2020,23310
5/22/2020,22787
5/23/2020,20475
5/24/2020,24151
5/25/2020,26158
5/26/2020,15253
5/27/2020,24886
5/28/2020,16362
5/29/2020,19606
5/30/2020,21214
5/31/2020,17962
6/1/2020,23482
6/2/2020,26116
6/3/2020,14692
6/4/2020,24890
6/5/2020,14583
6/6/2020,20069
6/7/2020,28922
6/8/2020,28918
6/9/2020,17848
6/10/2020,17536
6/11/2020,17235
6/12/2020,20315
6/13/2020,21745
6/14/2020,22133
6/15/2020,25314
6/16/2020,21754
6/17/2020,18514
6/18/2020,27921
6/19/2020,23139
6/20/2020,23046
6/21/2020,36617
6/22/2020,32349
6/23/2020,27575
6/24/2020,26519
6/25/2020,34191
6/26/2020,37601
6/27/2020,40526
6/28/2020,44458
6/29/2020,44580
6/30/2020,41008
7/1/2020,35757
7/2/2020,43556
7/3/2020,54271
7/4/2020,53213
7/5/2020,51933
7/6/2020,57186
7/7/2020,43686
7/8/2020,46194
7/9/2020,50263
7/10/2020,64630
7/11/2020,58975
7/12/2020,66281
7/13/2020,62369
7/14/2020,60113
7/15/2020,58720
7/16/2020,60711
7/17/2020,67165
7/18/2020,71484
7/19/2020,74354
7/20/2020,66963
7/21/2020,62788
7/22/2020,57276
7/23/2020,62929
7/24/2020,69641
7/25/2020,71714
7/26/2020,74235
7/27/2020,63968
7/28/2020,61498
7/29/2020,54022
7/30/2020,59629
7/31/2020,65406
8/1/2020,67823
8/2/2020,67499
8/3/2020,58388
8/4/2020,47183
8/5/2020,49151
8/6/2020,49629
8/7/2020,53373
8/8/2020,55318
8/9/2020,61028
8/10/2020,53893
8/11/2020,47964
8/12/2020,39894
8/13/2020,54791
8/14/2020,55907
8/15/2020,52799
8/16/2020,55359
8/17/2020,54375
8/18/2020,41073
8/19/2020,39125
8/20/2020,37908
8/21/2020,46259
8/22/2020,43952
8/23/2020,45960
8/24/2020,44946
8/25/2020,37765
8/26/2020,32883
8/27/2020,37030
8/28/2020,45484
8/29/2020,46194
8/30/2020,44002
8/31/2020,43983
9/1/2020,37068
9/2/2020,31808
9/3/2020,42662
9/4/2020,39402
9/5/2020,44563
9/6/2020,49131
9/7/2020,45350
9/8/2020,33486
9/9/2020,26015
9/10/2020,23204
9/11/2020,31988
9/12/2020,37128
9/13/2020,45523
9/14/2020,40126
9/15/2020,35177
9/16/2020,34111
9/17/2020,34078
9/18/2020,40795
9/19/2020,42618
9/20/2020,48266
9/21/2020,41695
9/22/2020,36766
9/23/2020,39145
9/24/2020,49176
9/25/2020,40043
9/26/2020,41254
9/27/2020,50070
9/28/2020,48958
9/29/2020,35217
9/30/2020,32688
10/1/2020,38476
10/2/2020,44985
10/3/2020,46293
10/4/2020,49465
10/5/2020,49036
10/6/2020,36136
10/7/2020,38920
10/8/2020,38904
10/9/2020,52458
10/10/2020,54232
10/11/2020,57828
10/12/2020,53055
10/13/2020,45325
10/14/2020,46308
10/15/2020,46309
10/16/2020,59106
10/17/2020,63044
10/18/2020,69834
10/19/2020,52508
10/20/2020,46378
10/21/2020,59018
10/22/2020,60155
10/23/2020,63361
10/24/2020,72342
10/25/2020,82630
10/26/2020,82626
10/27/2020,62364
10/28/2020,63145
10/29/2020,72042
10/30/2020,80384
10/31/2020,89048
11/1/2020,99356
11/2/2020,80379
11/3/2020,75888
11/4/2020,85412
11/5/2020,88163
11/6/2020,106050
11/7/2020,116780
11/8/2020,131821
11/9/2020,127151
11/10/2020,104659
11/11/2020,122231
11/12/2020,133935
11/13/2020,142076
11/14/2020,193734
11/15/2020,181066
11/16/2020,155001
11/17/2020,137486
11/18/2020,151266
11/19/2020,164044
11/20/2020,164560
11/21/2020,184191
11/22/2020,191033
11/23/2020,183544
11/24/2020,147098
11/25/2020,157180
11/26/2020,165091
11/27/2020,180850
11/28/2020,141222
11/29/2020,175669
11/30/2020,143211
12/1/2020,151674
12/2/2020,151204
12/3/2020,177976
12/4/2020,195769
12/5/2020,218671
12/6/2020,213127
12/7/2020,205837
12/8/2020,173388
12/9/2020,185473
12/10/2020,216360
12/11/2020,230852
12/12/2020,201681
12/13/2020,243209
12/14/2020,212577
12/15/2020,180420
12/16/2020,204281
12/17/2020,201468
12/18/2020,235805
12/19/2020,229915
12/20/2020,402270
12/21/2020,200257
12/22/2020,197199
12/23/2020,182819
12/24/2020,195151
12/25/2020,221145
12/26/2020,192095
12/27/2020,145489
12/28/2020,178311
12/29/2020,145513
12/30/2020,174814
12/31/2020,199163
1/1/2021,231427
1/2/2021,228437
1/3/2021,167759
1/4/2021,284312
1/5/2021,211444
1/6/2021,173375
1/7/2021,227369
1/8/2021,299562
1/9/2021,277195
1/10/2021,313516
1/11/2021,248089
1/12/2021,220528
1/13/2021,198788
1/14/2021,217166
1/15/2021,225573
1/16/2021,226608
1/17/2021,246485
1/18/2021,212253
1/19/2021,185383
1/20/2021,142240
1/21/2021,152937
1/22/2021,187919
1/23/2021,188176
1/24/2021,190994
1/25/2021,170883
1/26/2021,141691
1/27/2021,133409
1/28/2021,148533
1/29/2021,155203
1/30/2021,158153
1/31/2021,164415
2/1/2021,141327
2/2/2021,112129
2/3/2021,125444
2/4/2021,116762
2/5/2021,120876
2/6/2021,124866
2/7/2021,129961
2/8/2021,106988
2/9/2021,91412
2/10/2021,86449
2/11/2021,90930
2/12/2021,97134
2/13/2021,101693
2/14/2021,99024
2/15/2021,87896
2/16/2021,28313
2/17/2021,95902
2/18/2021,57856
2/19/2021,69069
2/20/2021,68191
2/21/2021,73240
2/22/2021,70973
2/23/2021,55323
2/24/2021,55190
2/25/2021,71778
2/26/2021,73477
2/27/2021,73351
2/28/2021,72812
3/1/2021,69613
3/2/2021,50218
3/3/2021,50776
3/4/2021,57831
3/5/2021,65320
3/6/2021,66262
3/7/2021,67213
3/8/2021,57269
3/9/2021,41486
3/11/2021,52732
3/12/2021,60322
3/13/2021,60312
3/14/2021,62840
3/15/2021,52261
3/16/2021,40230
3/17/2021,52998
3/18/2021,51882
3/19/2021,56790
3/20/2021,58826
3/21/2021,61382
3/22/2021,60228
3/23/2021,39165
3/24/2021,57686
3/25/2021,58755
3/26/2021,65326
3/27/2021,69589
3/28/2021,71187
3/29/2021,61893
3/30/2021,46865
3/31/2021,64599
4/1/2021,62713
4/2/2021,68409
4/3/2021,74507
4/4/2021,65770
4/5/2021,67554
4/6/2021,41108
4/7/2021,62750
