Manufacturer,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021
BMW Group,91654,83236,95440,82793,91229,86230,100738,67388,56244,77413,107299,0
Daimler,86612,77965,98802,78898,80707,89766,103363,75265,69505,84628,95310,0
FCA,601097,564507,555221,498425,597685,565035,542528,446584,367082,507347,499430,0
Ford Motor Company,679173,606939,606569,582758,639039,576007,598728,514613,432315,549085,538587,305411
General Motors,741873,693491,784422,665182,733697,737279,734007,612440,490958,664016,770176,0
Honda Motor Company,425333,419176,397831,369787,407408,429214,401961,298784,293502,378433,366068,198553
Hyundai Kia Auto Group,352789,325132,324998,288384,359796,336684,339757,272775,268265,339586,341688,183796
Jaguar Land Rover,27271,26743,36317,35250,27155,26666,36670,29202,18820,20599,33198,0
Mazda,79929,71198,65203,70831,67722,69612,70385,67670,61199,74411,75796,46803
Nissan Motor Co,396247,370058,393871,407921,380215,351828,326766,293167,189611,263979,257894,0
Subaru Corporation,173157,180558,176717,156754,182771,185804,174788,130591,136519,169446,175382,94700
Tesla,28462,68350,77525,30600,53300,54700,56525,52800,36800,139300,64002,0
Toyota Motor Corp,617270,634923,602432,543716,608392,627194,604016,495747,398029,558449,660715,349283
Volkswagen Group,162321,166013,158315,149011,167294,165383,167313,128420,116965,147958,174202,0
Volvo,27539,26307,24634,22058,28062,27305,30802,19485,23770,30349,36526,17315