,Month,Unemp_rate,Total_sales
0,5-Jan,5.3,1052224
1,5-Feb,5.4,1244753
2,5-Mar,5.2,1564938
3,5-Apr,5.2,1493837
4,5-May,5.1,1488171
5,5-Jun,5,1671401
6,5-Jul,5,1795944
7,5-Aug,4.9,1474130
8,5-Sep,5,1321156
9,5-Oct,5,1139217
10,5-Nov,5,1160447
11,5-Dec,4.9,1475649
12,6-Jan,4.7,1136538
13,6-Feb,4.8,1253271
14,6-Mar,4.7,1519952
15,6-Apr,4.7,1439311
16,6-May,4.6,1478735
17,6-Jun,4.6,1487688
18,6-Jul,4.7,1480504
19,6-Aug,4.7,1478072
20,6-Sep,4.5,1342543
21,6-Oct,4.4,1205973
22,6-Nov,4.5,1188344
23,6-Dec,4.4,1419758
24,7-Jan,4.6,1079891
25,7-Feb,4.5,1244375
26,7-Mar,4.4,1528582
27,7-Apr,4.5,1326837
28,7-May,4.4,1550609
29,7-Jun,4.6,1433282
30,7-Jul,4.7,1302661
31,7-Aug,4.6,1467601
32,7-Sep,4.7,1305275
33,7-Oct,4.7,1221485
34,7-Nov,4.7,1170035
35,7-Dec,5,1377542
36,8-Jan,5,1036540
37,8-Feb,4.9,1162277
38,8-Mar,5.1,1339158
39,8-Apr,5,1237336
40,8-May,5.4,1383754
41,8-Jun,5.6,1176765
42,8-Jul,5.8,1126477
43,8-Aug,6.1,1240785
44,8-Sep,6.1,959127
45,8-Oct,6.5,829396
46,8-Nov,6.8,737978
47,8-Dec,7.3,884306
48,9-Jan,7.8,650608
49,9-Feb,8.3,681676
50,9-Mar,8.7,847002
51,9-Apr,9,822746
52,9-May,9.4,919295
53,9-Jun,9.5,850654
54,9-Jul,9.5,991950
55,9-Aug,9.6,1254982
56,9-Sep,9.8,740394
57,9-Oct,10,832953
58,9-Nov,9.9,741826
59,9-Dec,9.9,1013629
60,10-Jan,9.8,693531
61,10-Feb,9.8,774108
62,10-Mar,9.9,1059134
63,10-Apr,9.9,976345
64,10-May,9.6,1096910
65,10-Jun,9.4,978154
66,10-Jul,9.4,1045915
67,10-Aug,9.5,993211
68,10-Sep,9.5,953837
69,10-Oct,9.4,940740
70,10-Nov,9.8,863198
71,10-Dec,9.3,1135333
72,11-Jan,9.1,815408
73,11-Feb,9,987265
74,11-Mar,9,1238252
75,11-Apr,9.1,1149240
76,11-May,9,1052417
77,11-Jun,9.1,1044037
78,11-Jul,9,1055231
79,11-Aug,9,1067895
80,11-Sep,9,1048158
81,11-Oct,8.8,1015016
82,11-Nov,8.6,986664
83,11-Dec,8.5,1236129
84,12-Jan,8.3,909806
85,12-Feb,8.3,2115420
86,12-Mar,8.2,1398128
87,12-Apr,8.2,1177478
88,12-May,8.2,1327521
89,12-Jun,8.2,1276629
90,12-Jul,8.2,1141761
91,12-Aug,8.1,1274193
92,12-Sep,7.8,1183825
93,12-Oct,7.8,1085804
94,12-Nov,7.7,1137862
95,12-Dec,7.9,1347837
96,13-Jan,8,1037967
97,13-Feb,7.7,1185746
98,13-Mar,7.5,1444773
99,13-Apr,7.6,1276318
100,13-May,7.5,1434096
101,13-Jun,7.5,1396038
102,13-Jul,7.3,1306885
103,13-Aug,7.2,1494273
104,13-Sep,7.2,1128124
105,13-Oct,7.2,1198989
106,13-Nov,6.9,1236413
107,13-Dec,6.7,1350623
108,14-Jan,6.6,1006049
109,14-Feb,6.7,1186038
110,14-Mar,6.7,1529348
111,14-Apr,6.2,1381300
112,14-May,6.3,1598730
113,14-Jun,6.1,1412565
114,14-Jul,6.2,1427029
115,14-Aug,6.1,1575971
116,14-Sep,5.9,1239405
117,14-Oct,5.7,1275657
118,14-Nov,5.8,1291817
119,14-Dec,5.6,1500108
120,15-Jan,5.7,1149107
121,15-Feb,5.5,1254709
122,15-Mar,5.4,1540724
123,15-Apr,5.4,1449812
124,15-May,5.6,1629328
125,15-Jun,5.3,1471074
126,15-Jul,5.2,1507307
127,15-Aug,5.1,1568896
128,15-Sep,5,1435728
129,15-Oct,5,1449359
130,15-Nov,5.1,1313000
131,15-Dec,5,1635926
132,16-Jan,4.8,1147705
133,16-Feb,4.9,1340801
134,16-Mar,5,1590701
135,16-Apr,5.1,1501379
136,16-May,4.8,1520463
137,16-Jun,4.9,1508662
138,16-Jul,4.8,1517151
139,16-Aug,4.9,1508095
140,16-Sep,5,1428354
141,16-Oct,4.9,1368064
142,16-Nov,4.7,1375086
143,16-Dec,4.7,1694258
144,17-Jan,4.7,1140841
145,17-Feb,4.6,1331716
146,17-Mar,4.4,1553142
147,17-Apr,4.5,1424793
148,17-May,4.4,1517197
149,17-Jun,4.3,1472495
150,17-Jul,4.3,1415051
151,17-Aug,4.4,1480526
152,17-Sep,4.2,1523050
153,17-Oct,4.1,1353586
154,17-Nov,4.2,1397105
155,17-Dec,4.1,1603063
156,18-Jan,4,1156581
157,18-Feb,4.1,1305932
158,18-Mar,4,1657716
159,18-Apr,4,1364619
160,18-May,3.8,1576158
161,18-Jun,4,1549950
162,18-Jul,3.8,1373655
163,18-Aug,3.8,1500121
164,18-Sep,3.7,1440820
165,18-Oct,3.8,1393137
166,18-Nov,3.8,1399187
167,18-Dec,3.9,1605973
168,19-Jan,4,1172653
169,19-Feb,3.8,1257589
170,19-Mar,3.8,1552126
171,19-Apr,3.7,1355548
172,19-May,3.7,1606260
173,19-Jun,3.6,1462664
174,19-Jul,3.6,1417418
175,19-Aug,3.7,1628577
176,19-Sep,3.5,1282712
177,19-Oct,3.6,1384010
178,19-Nov,3.6,1445173
179,19-Dec,3.6,1459164
180,20-Jan,3.5,1157415
181,20-Feb,3.5,1434716
182,20-Mar,4.4,912800
183,20-Apr,14.8,563122
184,20-May,13.3,1181756
185,20-Jun,11.1,1214706
186,20-Jul,10.2,1336267
187,20-Aug,8.4,1298489
188,20-Sep,7.8,1370243
189,20-Oct,6.9,1398735
190,20-Nov,6.7,1199580
191,20-Dec,6.7,1597958
,,,
,,,
